"Reservoir","Year","Date","Depth","TP_ugL","TN_ugL","DOC_ugL","NH4_ugL","PO4_ugL","NO3_ugL","Site","Notes"
"FCR",2017,2017-04-10 12:00:00,1.6,19.7,157,2.45603220373333,5.81,10.7,1.41,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,3.8,25.3,127,2.614,11.2,8.33,3.03,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,5,19.6,133,2.3491583604,6.68,10.8,2.32,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,6.2,17.5,142,2.28981817173333,7.87,9.77,4.64,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,8,19.9,129,2.4465,10.5,9.6,4.64,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,9,22.3,158,2.1541040256,5.44,8.72,1.62,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-10 12:00:00,999,22.1,138,1.493497552,6.5,18.2,82.7,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,0.1,17.3,97.7,3.24648398173333,7.26,9.63,3.45,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,1.6,20.8,193.57,2.5281940852,6.38,12.1,2.11,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,3.8,17.8,138,2.5136081792,5.44,10.7,2.91,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,5,21.1,159,2.43809280386667,6.21,9.85,19.1,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,6.2,25.3,131,2.566,8.01,11.8,3.29,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,8,18.5,138,2.2931922536,6.66,12.7,4.07,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,9,17.1,136,2.24630044413333,5.62,10.3,2.98,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-17 12:00:00,999,23.6,164,1.65890475333333,7.51,21,94.4,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,0.1,19.4,139,2.19906761173333,14.2,7.26,0.593,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,1.6,18.3,143,2.2590968896,14.5,9.16,2.89,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,3.8,14.6,90.5,2.37008017266667,18.1,8.83,1.82,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,5,23.7,141,2.41629060786667,18,9.11,1.01,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,6.2,21.6,118,2.12480170773333,10.9,7.89,0.262,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,8,11.7,101,2.0863447344,19.4,8.36,2.18,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,9,24.3,146,2.04942188773333,12.4,8.54,2.88,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-04-24 12:00:00,999,10.9,124,3.67214189253333,5.63,11.3,34.2,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-01 12:00:00,0.1,29.11488992,173.90274210675,2.94517541386667,14.4,8.46,5.27,50,"standards made up atypically;standards made up atypically;forgot Van Dorn this day;*forgot van Dorn;NA;NA;NA;forgot van Dorn so only have surface and inflow"
"FCR",2017,2017-05-01 12:00:00,999,27.4,208,2.264,12.1,12.2,21.9,50,"NA;NA;forgot Van Dorn this day;*forgot van Dorn;NA;NA;NA;forgot van Dorn so only have surface and inflow"
"FCR",2017,2017-05-05 12:00:00,0.1,16.8,149,2.43552069826667,5.62,9.37,3.01,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-05 12:00:00,1.6,22.4,160,2.8222395092,5.74,7.46,1.96,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-05 12:00:00,3.8,10.1,96.9,2.66325652546667,14.4,9.85,6.49,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-05 12:00:00,5,30.3,199,2.505,5.73,4.88,1.87,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-05 12:00:00,6.2,27.3,220,2.36326409053333,6.27,8.41,3.27,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-05 12:00:00,8,32,233,2.21718257253333,22.6,10.6,7.77,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-05 12:00:00,9,29,237,2.1915,5.78,5.46,1.74,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-08 12:00:00,0.1,27.17290988,170.77667190675,2.69401980706667,9.98,9.66,2.34,50,"standards made up atypically;standards made up atypically;don't know which is 50 and which is 20 :(;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,0.1,27.17290988,215.60707073175,2.69401980706667,9.98,9.66,2.34,50,"standards made up atypically;standards made up atypically;don't know which is 50 and which is 20 :(;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,1.6,33.29109932,199.80756473175,2.79420079253333,7.46,7.02,0.88,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,3.8,11.2140544448,183.101456,2.57897374306667,7.37,10.9,4.34,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,5,26,183,3.6925,16,5.61,4.19,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,6.2,24.2,191,2.256069032,11.3,6.53,3.67,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,8,30.782948,242.63876903175,2.09590726946667,18.5,6.49,6.58,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,9,12.82302487,243.62584256,2.4535,13.6,2.46,5.28,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-08 12:00:00,999,28.004648,228.30080513175,2.22903572213333,5.09,8.87,15.1,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,0.1,26.89584352,217.98348090675,2.566,4.84,5.69,3.19,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,1.6,22.75062892,206.11834553175,2.7175,5.15,5.09,3.81,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,3.8,24.26904647,180.37592444,2.34550244053333,5.24,12.2,5.42,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,5,22.3096657712,185.65228823175,2.20302857986667,12.3,6.76,6.23,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,6.2,27.17290988,198.23174903175,2.83715430213333,9.95,8.15,5.41,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,8,22.2,172,2.5385,15.4,5.98,8.55,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,9,25,226,2.306,16.9,1.95,9.12,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-15 12:00:00,999,24,187,2.4075,5.93,6.39,16.7,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,0.1,22,184,2.131376976,6.3,8.87,0.65,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,1.6,23.7,179,2.10310856293333,5.66,8.18,2.26,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,3.8,22.3647735872,233.07336023175,2.5315,6.9,3.66,1.14,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,5,25.235332,229.09576110675,2.349,15.1,3.01,3.96,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,6.2,23.7,184,2.1392023872,14.7,10.7,3.56,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,8,10.1668643452,211.39551436,2.27984979413333,8.63,8.91,3.02,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,9,31.33968608,243.43710810675,2.1702372128,14.5,7.1,4.15,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-22 12:00:00,999,33.84945452,325.03748513175,1.8735293348,7.01,12.6,32.2,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,0.1,11.0207368175,174.93153356,2.3745,15.3,5.87,2.47,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,1.6,22.4,166,2.16560065693333,9.39,8.46,2.66,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,3.8,28.55958928,241.04265473175,2.43193003133333,5.85,8.76,2.15,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,5,21.4,216,2.12144661013333,48.7,5.65,8.74,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,6.2,20.2,203,2.46,45.6,5.83,9.5,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,8,9.0158569408,224.251319,3.654,49.1,5.45,9.65,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,9,8.68823452,215.98131296,2.22400675973333,51.8,7.74,9.31,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-29 12:00:00,999,28.28207372,210.06869190675,2.394,10.2,10.6,20.8,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-05-30 12:00:00,0.1,12.82302487,164.06944076,2.72717846293333,7.38,9.43,1.76,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-30 12:00:00,1.6,28.83719468,216.39901950675,2.18974506706667,5.81,9.4,1.83,50,"standards made up atypically;standards made up atypically;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-30 12:00:00,3.8,26.34198032,186.43709490675,2.575,5.39,4.37,2.82,50,"standards made up atypically;standards made up atypically;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-30 12:00:00,5,21.2,166,2.395248822,9.95,9.88,3.57,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-30 12:00:00,6.2,9.6179257532,186.73895776,2.3908191424,12.2,9.15,3.09,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-30 12:00:00,8,9.0705141212,233.463691,2.26766387853333,45.8,9.05,10.1,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-05-30 12:00:00,9,7.5187682543,223.33144096,2.21730904746667,51.1,8.34,10.4,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,0.1,24.13012112,180.16390410675,2.759,9.92,7.23,3.28,50,"standards made up atypically;standards made up atypically;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,1.6,8.1978315868,174.93153356,2.3985,4.88,6.5,2.88,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,3.8,21.5,173,2.3525,11.1,3.74,1.66,50,"NA;NA;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,5,18.9823283468,247.43162273175,2.6045,0.646,4.77,4.02,50,"standards made up atypically;standards made up atypically;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,6.2,13.66028992,190.38041344,2.188,11.1,3.87,4.39,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,8,23.854043,252.23124263175,2.068708584,49.9,5.8,11.9,50,"standards made up atypically;standards made up atypically;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-01 12:00:00,9,19.9159539308,203.75039310675,2.15105844053333,20.2,6.52,5.23,50,"standards made up atypically;standards made up atypically;didn't sample inflow this day;did not collect inflow this day;NA;NA;NA;did not collect inflow this day"
"FCR",2017,2017-06-05 12:00:00,0.1,20.3831561792,169.21476450675,2.733,19,8.41,7.47,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,1.6,25.78847648,160.63771223175,2.8505,21.7,7.61,5.33,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,3.8,19.7,152,2.7365,21.1,7.2,3.48,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,5,19.58632043,167.65360890675,3.678,20.7,4.46,2.98,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,6.2,21.0431778368,194.29549890675,2.387,44.4,4.54,12.1,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,8,18.183728,237.15555916,2.31,52.2,4.66,14.8,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,9,21.8,247,2.2675,66.2,5.72,17.2,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-05 12:00:00,999,32.949343,355.473319,2.944,12,10.3,25.4,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,0.1,18.6,150,2.3365,15.7,7.78,5.8,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,1.6,16.5,144,2.3655,13.5,8.07,4.17,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,3.8,18.5,167,2.3195,11,4.41,2.53,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,5,7.7086654912,184.01046076,2.54,10.9,5.32,4.21,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,6.2,19.6,190,2.3135,28.2,5.34,8.54,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,8,31.89678352,237.85268153175,2.391,40.1,7.98,16.7,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,9,24.5,252,2.208,54.2,2.64,19.3,50,"NA;NA;NA;dup?;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,9,24.5,252,2.5175,54.2,2.64,19.3,50,"NA;NA;NA;dup?;NA;NA;NA;NA"
"FCR",2017,2017-06-12 12:00:00,999,31.61818988,251.43083610675,2.192,11.1,11.2,71.7,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,0.1,10.7448932575,187.648951,2.5045,6.3,6.6,3.43,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,1.6,10.8000314303,188.55919136,2.673,11.2,7.55,2.67,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,3.8,8.7428000828,193.11409996,2.6865,16.9,6.61,3.84,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,5,23.02634768,169.21476450675,2.5455,6.86,6.25,2.88,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,6.2,7.8987497807,200.41480396,2.5735,22.1,6.02,15,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,8,26.618867,187.22208953175,2.4585,9.65,7.36,4.31,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,9,22.9,224,2.795,25.6,5.21,15.7,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-19 12:00:00,999,36.4,334,2.711,6.11,9.28,56.7,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,0.1,19.2568162988,206.90803890675,2.8455,11.8,8.02,1.85,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,1.6,5.1474454367,207.73132364,3.1545,9.23,9,3.49,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,3.8,2.9114869175,186.73895776,2.5345,9.2,5,2.66,50,"adjusted calibration to reflect atypical sample to reagent ratio;adjusted calibration to reflect atypical sample to reagent ratio;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,5,27.45006608,212.44115513175,2.741,7.32,3.9,3.56,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,6.2,19.6,203,2.5465,15.4,6.47,5.33,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,8,18.6,224,2.464,42.4,5.88,16.6,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,9,28.55958928,257.83935090675,NA,45,6.42,17.9,50,"standards made up atypically;standards made up atypically;NA;missing;NA;NA;NA;NA"
"FCR",2017,2017-06-26 12:00:00,999,27.45006608,348.82158210675,1.2885,9.12,12.3,205,50,"standards made up atypically;standards made up atypically;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,0.1,13.1,237.57,3.9315,7.31,14.6,3.72,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,1.6,15.8,256.57,3.5885,7.98,15.2,3.51,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,3.8,15.3,216.57,3.0555,11.8,12.2,2.42,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,5,11.5,182.57,2.805,21.9,10.1,5.95,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,6.2,19.5,277.57,2.6535,63.5,10.1,20,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,8,13.1,201.57,2.9495,30.3,7.67,8.59,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,9,13.5,242.57,2.813,73.1,9.03,18.9,50,"NA;NA;NA;NA;NA;NA;NA;NA"
"FCR",2017,2017-07-05 12:00:00,999,32,269,1.713,6.59,18.1,123,50,"NA;NA;NA;NA;NA;NA;NA;NA"
