"Reservoir","Year","Date","Depth","TP_ugL","TN_ugL","DOC_ugL","NH4_ugL","PO4_ugL","NO3_ugL","Notes"
"BVR",2017,2017-08-03 12:00:00,9,24.7,1350,3.301,1060,12.6,4.25,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-10 12:00:00,0.1,19,557,5.64,23.2,4.54,6.16,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-10 12:00:00,3,32.3,460,3.8,61.8,5.22,3.25,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-10 12:00:00,6,25.8,545,2.19,190,6.82,0.603,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-10 12:00:00,9,25.9,1330,3.16,961,22.3,4.45,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-17 12:00:00,0.1,28.9,496,5.72,12.5,5,4,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-17 12:00:00,3,19.6,451,4.07,58.4,7.66,0.0936,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-17 12:00:00,6,24,480,2.91,162,8.42,2.16,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-17 12:00:00,9,30.9,1470,3.58,126,3.44,-0.418,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-24 12:00:00,0.1,30.2,585,5.18,7.18,4.41,0.0909,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-24 12:00:00,3,21.9,414,3.76,10.5,4.16,1.95,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-08-24 12:00:00,6,19.6,430,2.32,160,4.92,0,"NA;NA;NA;NA;NA;NA;NO3 value was negative and changed to 0"
"BVR",2017,2017-08-24 12:00:00,9,36.1,1380,2.87,1100,13.5,1.02,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-05 12:00:00,0.1,22.7,504,6.17,26,NA,4.51,"NA;NA;NA;NA;NA;NA;PO4 value was QC code of 3 and dropped"
"BVR",2017,2017-09-05 12:00:00,3,19.9,435,5.05,21.3,6.12,1.5,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-05 12:00:00,6,24.7,441,3.23,69.2,5.64,-0.192,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-05 12:00:00,9,31.3,1400,2.92,1160,20,2.98,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-19 12:00:00,0.1,25.4,551,6.23,11.3,8.56,1.87,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-19 12:00:00,3,18.9,417,4.88,8.47,5.68,0.149,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-19 12:00:00,6,22.2,507,3.38,132,5.1,0.925,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-09-19 12:00:00,9,30.5,1840,3.09,169,2.43,-0.487,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-03 12:00:00,0.1,23.4,581,6.56,10.6,6.15,2.25,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-03 12:00:00,3,18.2,365,4.55,7.47,6.06,2.4,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-03 12:00:00,6,17.6,607,2.55,365,4.49,0,"NA;NA;NA;NA;NA;NA;NO3 value was negative and changed to 0"
"BVR",2017,2017-10-03 12:00:00,9,35.5,2030,3.93,169,3.24,-0.337,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-17 12:00:00,0.1,21,466,NA,10.3,9.04,3.74,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-17 12:00:00,3,20,445,NA,13.2,13,3.77,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-17 12:00:00,6,23.7,567,NA,315,3.5,1.93,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-10-17 12:00:00,9,20.9,1860,NA,228,1.93,1.54,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-11-07 12:00:00,0.1,20.2,559,NA,60.2,7.65,6.98,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-11-07 12:00:00,3,15.1,487,NA,78.1,6.58,7.11,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-11-07 12:00:00,6,15.3,454,NA,72.7,8.41,4.21,"NA;NA;NA;NA;NA;NA;NA"
"BVR",2017,2017-11-07 12:00:00,9,18.1,490,NA,128,12.1,4.5,"NA;NA;NA;NA;NA;NA;NA"
