Reservoir,Site,DateTime,StartDepth_m,EndDepth_m,CollectionMethod,DayorNight,Taxon,Density_IndPerL,MeanLength_mm,MeanWeight_ug,Biomass_ugL
BVR,50,2014-04-17 12:00:00,10.0,0.0,Tow,Day,Trichocerca,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Ascomorpha,1.04,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Asplanchna,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Bosmina,2.08,0.26,0.53,1.11
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Chaoborus,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Chydorus,1.25,0.31,1.06,1.32
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Conochilus,4.16,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Cyclopoids,0.83,0.43,0.77,0.64
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,D. ambigua,0.21,0.48,0.85,0.18
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,D. catawba,0.62,0.68,2.13,1.33
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Diaptomus,2.08,0.65,1.36,2.83
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Kellicottia,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Keratella,1.46,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Nauplii,8.74,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Polyarthra,0.42,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Total Rotifers,7.07,NA,NA,NA
BVR,50,2014-04-30 12:00:00,8.5,0.0,Tow,Day,Trichocerca,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Ascomorpha,0.55,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Asplanchna,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Bosmina,0.39,0.29,0.67,0.26
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Chaoborus,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Chydorus,0.22,0.22,0.36,0.08
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Conochilus,64.08,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Cyclopoids,2.22,0.62,2.79,6.19
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,D. catawba,1.39,0.67,2.1,2.92
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Diaptomus,1.11,0.45,0.43,0.48
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Kellicottia,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Keratella,0.89,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Nauplii,6.05,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Polyarthra,0.61,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Total Rotifers,23.47,NA,NA,NA
BVR,50,2014-05-14 10:40:00,8.5,0.0,Tow,Day,Trichocerca,0.06,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Ascomorpha,13.91,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Asplanchna,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Bosmina,0,NA,NA,0
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Chaoborus,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Chydorus,1.25,0.29,0.85,1.06
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Conochilus,4.16,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Cyclopoids,0.83,0.67,5.62,4.68
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,D. catawba,0.21,0.43,0.66,0.14
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Kellicottia,0.14,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Keratella,1.8,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Nauplii,5.06,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Polyarthra,0.62,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Total Rotifers,13.18,NA,NA,NA
BVR,50,2014-05-29 11:10:00,8.5,0.0,Tow,Day,Trichocerca,0.07,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Ascomorpha,24.97,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Asplanchna,0.55,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Bosmina,0,NA,NA,0
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Chaoborus,0,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Chydorus,0.06,0.16,0.14,0.01
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Conochilus,2.94,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Cyclopoids,3.27,0.56,3.36,11
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,D. catawba,1.39,0.64,1.89,2.62
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Diaphanosoma,0.06,0.44,0.29,0.02
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Diaptomus,0.06,0.46,0.41,0.02
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Kellicottia,0.89,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Keratella,18.72,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Nauplii,16.56,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Polyarthra,0.28,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Total Rotifers,25.46,NA,NA,NA
BVR,50,2014-06-04 12:00:00,8.5,0.0,Tow,Day,Trichocerca,0,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Ascomorpha,2.44,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Asplanchna,0,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Bosmina,0,NA,NA,0
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Chaoborus,0,NA,NA,0
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Chydorus,0.06,0.16,0.14,0.01
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Conochilus,2.83,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Cyclopoids,0.33,0.31,0.23,0.08
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,D. catawba,0.78,0.82,3.17,2.46
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Diaphanosoma,0.06,1.03,3.97,0.22
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Kellicottia,0.06,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Keratella,4.6,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Lecane,0.06,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Nauplii,1.78,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Polyarthra,0.11,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Total Rotifers,10.1,NA,NA,NA
BVR,50,2014-06-18 12:30:00,8.5,0.0,Tow,Day,Trichocerca,0,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Ascomorpha,2.88,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Asplanchna,0.61,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Bosmina,0.06,0.2,0.25,0.01
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Chaoborus,0.01,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Chydorus,0,NA,NA,0
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Conochilus,4.6,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Cyclopoids,2.55,0.54,3.19,8.13
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,D. ambigua,0,NA,NA,0
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,D. catawba,2.72,0.54,1.19,3.24
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Kellicottia,3.05,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Keratella,5.6,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Nauplii,7.27,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Polyarthra,0.44,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Total Rotifers,17.25,NA,NA,NA
BVR,50,2014-06-25 12:30:00,8.5,0.0,Tow,Day,Trichocerca,0.06,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Ascomorpha,0.94,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Asplanchna,0.03,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Bosmina,0.34,0.25,0.49,0.17
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Ceriodaphnia,0.03,0.26,0.14,0
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Chaoborus,0.03,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Chydorus,0,NA,NA,0
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Conochilus,0.24,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Cyclopoids,0.77,0.72,4.93,3.82
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,D. ambigua,0.37,0.81,2.98,1.1
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,D. catawba,0.88,0.9,4.18,3.66
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Kellicottia,1.92,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Keratella,7.86,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Nauplii,3.44,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Polyarthra,0.34,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Total Rotifers,9.36,NA,NA,NA
BVR,50,2014-07-02 10:50:00,10.5,0.0,Tow,Day,Trichocerca,0,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Ascomorpha,0.54,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Asplanchna,0.02,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Bosmina,0,NA,NA,0
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Ceriodaphnia,0.11,0.38,0.63,0.07
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Chaoborus,0.03,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Chydorus,0,NA,NA,0
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Conochilus,0.29,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Cyclopoids,0.67,0.79,7.2,4.85
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,D. ambigua,0.16,0.78,2.79,0.44
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,D. catawba,0.04,0.44,0.7,0.03
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Diaphanosoma,0.02,0.3,0.09,0
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Kellicottia,4.54,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Keratella,2.83,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Lecane,0.02,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Nauplii,2.81,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Polyarthra,0.07,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Synchaeta,0,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Total Rotifers,8.31,NA,NA,NA
BVR,50,2014-07-09 11:55:00,10.5,0.0,Tow,Day,Trichocerca,0,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Ascomorpha,0.39,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Asplanchna,0.06,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Bipalpus,0,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Bosmina,0.11,0.23,0.42,0.05
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Ceriodaphnia,0,NA,NA,0
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Chaoborus,0.04,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Chydorus,0,NA,NA,0
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Conochilus,0.22,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Cyclopoids,4.38,0.48,1.01,4.41
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,D. ambigua,0.28,0.7,2.07,0.57
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,D. catawba,1.05,0.94,4.78,5.03
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Diaphanosoma,0,NA,NA,0
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Diaptomus,0,NA,NA,0
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Finilia,0,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Kellicottia,46.94,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Keratella,15.31,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Lecane,0,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Leptodora,0,NA,NA,0
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Monostyla,0,NA,NA,NA
BVR,50,2014-07-23 11:45:00,8.5,0.0,Tow,Day,Nauplii,14.65,NA,NA,NA
